mfn;numero_control;titulo;autores;responsabilidad;lugar;editorial;anio;isbn;descripcion_fisica;coleccion;idioma;temas;inventarios;ubicaciones;signaturas
3867;BNM003867;Debates de mayo: nacion, cultura y politica;Nun, Jose | Grimson, Alejandro;, compilado por Jose Nun,  y Alejandro Grimson;Buenos Aires;Gedisa;2005;950-9113-68-9;320 p.;;español;COMUNICACION;6349;CENTRAL;008 BKR
3868;BNM003868;Para que el arte: reflexiones en torno al arte y su educacion en tiempos de crisis;Lopez Fdz. Cao, Marian;Marian Lopez Fdz. Cao;Madrid;Fundamentos;2015;978-84-245-1288-0;294 p.;;español;COMUNICACION;6450;CENTRAL;008 BKR
3869;BNM003869;Memoria de la comunicacion;Schmucler, Hector;Hector Schmucler;Buenos Aires;Biblos;1997;950-786-141-6;304 p.;Comunicacion, medios, cultura;español;COMUNICACION;6351;CENTRAL;008 BKR
3870;BNM003870;Reinas del trabajo u campeones de la producción: género, política y cultura en el primer peronismo;Lobato, Mirta Zaida;Mirta Zaida Lobato;Buenos Aires;Eudem;2024;978-631-6514-20-2;105 p.;La Argentina peronista;español;COMUNICACION;6352;CENTRAL;008 BKR
3871;BNM003871;Las Lopez: luces y sombras feministas del 1900;Femenias, Maria Luisa | Spadaro, Maria Cristina;Maria Luisa Femenias , Maria Cristina Spadaro;Buenos Aires;Edhasa;2024;978-987-628-750-0;280 p.;;español;COMUNICACION;6353;CENTRAL;008 BKR
3872;BNM003872;Mujeres de Rosas;Quesada, Maria Saenz;Maria Saenz Quesada;Buenos Aires;Planeta;1996;950-742-049-5;257 p.;;español;COMUNICACION;6354;CENTRAL;008 BKR
3873;BNM003873;Ellas lo pensaron antes: filosofas excluidas de la memoria;Femenias, Maria Luisa;Maria Luisa Femenias;Buenos Aires;Ediciones Lea;2019;978-987-7189643-7;448 p.;Espiritulidad & pensamiento;español;COMUNICACION;6355;CENTRAL;008 BKR
3874;BNM003874;Seminario Internacional sobre Economia de la cultura: Mecenazgo;Fondo Nacional de las Artes;Fondo Nacional de las Artes;Buenos Aires;Fondo Nacional de las Artes;1998;;264 p.;;español;COMUNICACION;6363;CENTRAL;008 BKR
3875;BNM003875;Atlas historico mundial: la historia del mundo en 317 mapas;Duby, Georges;Georges Duby;Barcelona;Debate;1987;84-7444-349-0;315 p.;;español;COMUNICACION;6364;CENTRAL;008 BKR
3876;BNM003876;Frank Lloyd Wrights: public buildings;Lind, Carla;Carla Lind;San Francisco;Pomegranate ArtBooks;1996;978-0-7649-0016-1;57 p.;;inglés;COMUNICACION;6366;CENTRAL;008 BKR
3877;BNM003877;Caaporá: un ballet indigena en la modernidad;Guiraldes, Ricardo | Gonzalez Garaño, Alfredo;Ricardo Guiraldes , Alfredo Gonzalez Garaño;Buenos Aires;Banco Galicia;2010;978-987-26333-0-1;120 p.;;español;COMUNICACION;6367;CENTRAL;008 BKR
3878;BNM003878;El tratamiento grupal en la clínica psicopedagógica;Schlemenson, Silvia | Percia, Marcelo;, compilado por Silvia Schlemenson,  y Marcelo Percia;Buenos Aires;Miño y Davila;1997;950-9467-75-8;168 p.;;español;PSICOLOGIA SOCIAL | PSICOPEDAGOGIA | TERAPIA GRUPAL | SOCIOLOGIA;6138;CENTRAL;316.6 TRA
3879;BNM003879;Temas en psicología social II: el mundo como realidad subjetiva;Goldenstein de Muchinik, Eva | Rubistein, Adriana | Frydman, Susana S. de;Eva Goldenstein de Muchinik , Adriana Rubistein, Susana S. de Frydman;Buenos Aires;Tekne;1987;950-595-066-7;67 p.;;español;PSICOLOGIA SOCIAL | SOCIALIZACION DE LA PERSONALIDAD | IDENTIDAD | PSICOANALISIS | IDENTIDAD SOCIAL | SOCIOLOGIA;6203;CENTRAL;316.6 GOL
3880;BNM003880;Politica y poder en los procesos de desarrollo: debates y posturas en torno a la plicacion de la antropologia;Isla, Alejandro | Colmegna, Paula;, compilado por Alejandro Isla,  y Paula Colmegna;Buenos Aires;De las Ciencias;2005;987-22098-0-4;320 p.;;español;ANTROPOLOGIA SOCIAL | ENSAYO | POLITICA DE DESARROLLO | CULTURA | SOCIOLOGIA;1838;CENTRAL;316.7 POL
3881;BNM003881;Como comprender la PNL: introduccion a la programacion neurolinguistica;Cudicio, Catherine;Catherine Cudicio;Buenos Aires;Granica;2009;978-950-641-557-0;200 p.;;español;SOCIOLOGIA | COMUNICACION SOCIAL | SOCIOLOGIA DE LA COMUNICACION | PROGRAMACION NEUROLINGUISTICA;4934;CENTRAL;316.77 CUD
3882;BNM003882;Ley de servicios de comunicación audiovisual 26.522 y su Decreto Reglamentario N° 1225/10;;;Buenos Aires;Defensoria del Publico;2004;978-987-45791-5-7;218 p.;;español;LEYES ARGENTINA | COMUNICACION SOCIAL | SOCIOLOGIA DE LA COMUNICACION | SERVICIOS DE COMUNICACION AUDIOVISUAL | SOCIOLOGIA;5003;CENTRAL;316.77(094.5) LEY
3883;BNM003883;El niño y la sociedad;Elkin, Frederic;Frederic Elkin;Buenos Aires;Paidos;1980;;134 p.;;español;SOCIOLOGIA | SOCIALIZACION | SOCIOLOGIA DE LA EDUCACION | PROCESOS DE SOCIALIZACION | AGENTES DE LA SOCIALIZACION;6195;CENTRAL;316.74:37 ELK
3884;BNM003884;Bienestar, justicia y libertad;Gordon, Scott;Scott Gordon;Buenos Aires;Abeledo-Perrot;1980;950-20-0237-7;198 p.;;español;POLITICA | JUICIOS DE VALOR | BIENESTAR | JUSTICIA | LIBERTAD | CONFLICTO | CONTROL;338;CENTRAL;32 GOR
3885;BNM003885;La tercera via: la renovacion de socialdemocracia;Giddens, Anthony | Cifuentes Huertas, Pedro;Anthony Giddens , traducido por Pedro Cifuentes Huertas;Madrid;Taurus;1999;84-306-0347-6;198 p.;;español;POLITICA | SOCIALISMO | GLOBALIZACION | ESTADO | SOCIEDAD CIVIL | ESTADO SOCIAL INVERSOR | ERA GLOBAL | SOCIALDEMOCRACIA;6441;CENTRAL;32 GID
3886;BNM003886;De otra manera: ensayos sobre politica social y equidad;Bustelo, Eduardo Santiago;Eduardo Santiago Bustelo;Rosario;Homo Sapiens;2000;950-808-265-8;306 p.;Socialis;español;POLITICA | ENSAYO | POLITICA SOCIAL | EQUIDAD SOCIAL | AMERICA LATINA | DEMOCRACIA | SALUD | POBREZA MORAL | CIUDADANIA | CONSTRUCCION DEMOCRATICA;6372;CENTRAL;32 BUS
3887;BNM003887;Dictadura y contradiccion: racionalismo y razon en politica;Kirkpatrick, Jeane J | Urbino, Rafael;Jeane J Kirkpatrick , traducido por Rafael Urbino;Buenos Aires;Sudamericana;1982;950-07-0163-4;310 p.;;español;POLITICA | DOCTRINAS POLITICAS | DICTADURA | RACIONALISMO | POLITICA EXTERIOR | TOTALITARISMO | POLITICA INTERNA | NUEVA DERECHA;326;CENTRAL;321.6 KIR
3888;BNM003888;Orientaciones laborales y orientaciones políticas en obreros de América Latina: ¿crisis o reconfiguración de identidades? Evidencia en obreros de Argentina, Brasil, México y Venezuela;Covarrubias, Alejandro;Alejandro Covarrubias;Buenos Aires;CLACSO;2009;978-987-1543-11-3;272 p.;Becas de investigacion;español;POLITICA | SISTEMAS POLITICOS | AMERICA LATINA | OBREROS | ORIENTACIONES LABORALES | ORIENTACIONES POLITICAS | REGIMENES POLITICOS | MODELO ECONOMICO | LUCHA POLITICA | RESISTENCIA;6325;CENTRAL;321.65 COV
3889;BNM003889;Elecciones presidenciales: estrategias de la política electoral estadounidense;Polsby, Nelson W | Wildavsky, Aaron;Nelson W. Polsby , Aaron Wildavsky;Buenos Aires;Tres Tiempos;1984;950-18-057-2;416 p.;;español;POLITICA | PARTIDOS POLITICOS | ESTRATEGIA ELECTORAL | ELECCIONES PRESINDENCIALES | POLITICA ELECTORAL | CANDIDATOS POLITICOS | ESTADOS UNIDOS;361;CENTRAL;324(73) POL
3890;BNM003890;Historia económica mundial: desde el medioevo hasta los tiempos contemporáneos;Cortes Conde, Roberto;Roberto Cortes Conde;Buenos Aires;Ariel;2007;978-950-9122-15-4;320 p.;;español;ECONOMIA | HISTORIA ECONOMICA | ECONOMIA MUNDIAL | MEDIOEVO | REGIMEN SENORIAL | FEUDALISMO | FORMACION DE LOS ESTADOS NACIONALES | MERCANTILISMO | REVOLUCION INDUSTRIAL | INSTITUCIONES MONETARIAS | SIGLO XIX | CRECIMIENTO ECONOMICO | AMERICA | ASIA | PRIMERA GUERRA MUNDIAL | POSGUERRA | CRISIS DE 1930 | SIGLO XX | SEGUNDA POSGUERRA;6011;CENTRAL;330 COR
3891;BNM003891;La Argentina informal: realidad de la vida economica;Guissarri, Adrian;Adrian Guissarri;Buenos Aires;Emece;1989;950-04-0899-6;318 p.;;español;ECONOMIA | ECONOMIA ARGENTINA | COMERCIO EXTERIOR | GASTOS PUBLICOS | ARGENTINA INFORMAL | CAUSAS | CRECIMIENTO | REGULACIONES | PRODUCTO BRUTO INTERNO;1069;CENTRAL;330 GUI
3892;BNM003892;Microeconomia;Gravelle, Hugh | Rees, Ray;Hugh Gravelle , Ray Rees;Madrid;Alianza;1984;84-206-8089-3;664 p.;;español;ECONOMIA | MICROECONOMIA | CONCEPTO | METODOS | EMPRESA | PRODUCCION | MONOPOLIOS | OLIGOPOLIOS | OPTIMIZACION | TEORIA DEL CONSUMIDOR | MERCADOS COMPETITIVOS;251;CENTRAL;330 GRA
3893;BNM003893;El nunca mas y los crimenes de la dictadura;;;Buenos Aires;Secretaria de Cultura de la Nacion;2007;978-987-9161-43-2;144 p.;Libros y casas;español;DERECHO | DERECHO HUMANOS | DICTADURA MILITAR | CRIMENES DE LA DICTADURA;5312;CENTRAL;342.7 NUN
3894;BNM003894;Economia: principios y aplicaciones;Mochon Morcillo, Francisco | Beker, Victor Alberto;Francisco Mochon Morcillo , Victor Alberto Beker;Madrid;McGraw-Hill;1993;84-481-0054-9;826 p.;;español;ECONOMIA | MACROECONOMIA | MICROECONOMIA | MERCADO | OFERTA | DEMANDA | MODELO NEOCLASICO;6069;CENTRAL;330 MOC
3895;BNM003895;Economia;Samuelson, Paul A | Nordhaus, William D | Taharia Cortes, Luis;Paul A. Samuelson ,  y William D. Nordhaus,  y Luis Taharia Cortes;Mexico;McGraw-Hill;1986;968-451-980-X;1156 p.;;español;ECONOMIA | MACROECONOMIA | MICROECONOMIA | ESTADO | COMERCIO INTERNACIONAL | SALARIOS | ALQUILERES | BENEFICIOS | EQUIDAD | EFICIENCIA | CRECIMIENTO ECONOMICO;5928;CENTRAL;330 SAM
3896;BNM003896;Economia a contra mano: como entender la economia politica;Zaiat, Alfredo;Alfredo Zaiat;Buenos Aires;Planeta;2012;978-950-49-3015-0;320 p.;;español;ECONOMIA | ECONOMIA ARGENTINA | ECONOMIA POLITICA | MERCADO | ESTADO | HISTORIA ECONOMICA ARGENTINA | BURGUESIA | FUGA DE CAPITALES | PODER FINANCIERO;5984;CENTRAL;330(82) ZAI
3897;BNM003897;Psicologia economica: aspectos psico-sociales del comportamiento economico;Ellison, Mariano | Robertazzi, Margarita;Mariano Ellison , dirigido por Margarita Robertazzi;Ushuaia;Utopias;2014;978-987-1887-88-0;210 p.;;español;ECONOMIA | PSICOLOGIA | PSICOLOGIA SOCIAL | PSICOLOGIA ECONOMICA | FINANZAS CONDUCTUALES | MODELO SOCIONOMICS | MODELO INTERACTIVO | DISCUSION;5171;CENTRAL;330+159.9 ELL
3898;BNM003898;Sistema de vida, moneda y sindicalismo;Anderson, Robert G;Robert G. Anderson;Buenos Aires;Bolsa de Comercio de Buenos aires;1979;;109 p.;;español;ECONOMIA | POLITICA | MERCADOS | MONEDA | INFLACION | SISTEMAS DE VIDA | PROGRESO MATERIAL | REDISTRIBUCION DE LA RIQUEZA;2205;CENTRAL;330:321 AND
3899;BNM003899;Como enfrentar la pobreza y la desigualdad?: una perspectiva internacional;Kliksberg, Bernardo;Bernardo Kliksberg;Buenos Aires;Ministerio de Educacion de la Nacion;2013;978-987-00-0973-7;308 p.;;español;ECONOMIA | ECONOMIA MUNDIAL | POLITICAS PUBLICAS | ENSAYO ECONOMICO | POBREZA | DESIGUALDAD | ENSAYO;5426;CENTRAL;330+82-4 KLI
3900;BNM003900;Las limitaciones de la globalizacion: economia, ecologia y politica de la globalizacion;Altvater, Elmar | Mahnkopf, Birgit;Elmar Altvater , Birgit Mahnkopf;Mexico;Siglo XXI Editores;2002;968-23-2315-0;433 p.;;español;ECONOMIA | GLOBALIZACION | ECOLOGIA | POLITICA;1809;CENTRAL;330.148 ALT
3901;BNM003901;Macroeconomia y politica macroeconomica: los secretos del desarrollo en la economia abierta;Conesa, Eduardo R;Eduardo R. Conesa;Buenos Aires;La Ley;2008;978-987-03-1322-9;672 p.;;español;ECONOMIA | MACROECONOMIA | POLITICA | INFLACION | DESEMPLEO | ARGENTINA | CRECIMIENTO;5905;CENTRAL;330.101.54 CON
3902;BNM003902;Codigo Aduanero de la Republica Argentina;;;Buenos Aires;Lajouane;2005;987-21293-5-5;432 p.;;español;DERECHO | CODIGO ADUANERO | NORMAS COMPLEMENTARIAS | RESOLUCIONES | DISPOSICIONES;6337;CENTRAL;347.7 COD
3903;BNM003903;Consultor de Enfermería Clínica 1;Raffensperger, Ellen Baily | Zusy, Mary Lloyd | Marchesseault, Lynn Claire;Ellen Baily Raffensperger , Mary Lloyd Zusy, Lynn Claire Marchesseault;Barcelona;Oceano;1990;84-7841-040-6;v. 1, 208 p.;;español;MEDICINA Y SALUD | ENFERMERIA | DIAGNOSTICO DE ENFERMERIA | TRATAMIENTO | ENFERMERIA MEDICO-QUIRURGICA | CARDIOVASCULAR | DERMATOLOGIA | DIGESTIVO;6222;CENTRAL;614.253.5 RAF
3904;BNM003904;Consultor de Enfermería Clínica 2;Raffensperger, Ellen Baily | Zusy, Mary Lloyd | Marchesseault, Lynn Claire;Ellen Baily Raffensperger , Mary Lloyd Zusy, Lynn Claire Marchesseault;Barcelona;Oceano;1990;84-7841-041-4;v. 2, 208 p.;;español;MEDICINA Y SALUD | ENFERMERIA | ENFERMERIA MEDICO-QUIRURGICA | DIGESTIVO | ENDOCRINOLOGIA | GENITOURINARIO | GINECOLOGIA | MUSCULOESQUELETICO | NEUROLOGIA | OFTALMOLOGIA | OTORRINOLARINGOLOGIA;6223;CENTRAL;614.253.5 RAF
3905;BNM003905;Consultor de Enfermería Clínica 3;Raffensperger, Ellen Baily | Zusy, Mary Lloyd | Marchesseault, Lynn Claire;Ellen Baily Raffensperger , Mary Lloyd Zusy, Lynn Claire Marchesseault;Barcelona;Oceano;1990;84-7841-042-2;v. 3, 208 p.;;español;MEDICINA Y SALUD | ENFERMERIA | OBSTETRICIA | PEDIATRIA | FARMACOLOGIA | ENFERMERIA MEDICO-QUIRURGICA | SISTEMA RESPIRATORIO;6224;CENTRAL;614.253.5 RAF
3906;BNM003906;Economia mundial y desarrollo regional;Bernal-Meza, Raul | Kumar Saha, Suranjit;Raul Bernal-Meza , Suranjit Kumar Saha;Buenos Aires;Grupo Editor Latinoamericano;2005;950-694-756-2;400 p.;estudios Internacionales;español;ECONOMIA | ECONOMIA MUNDIAL | DESARROLLO REGIONAL | CAPITAL SOCIAL | ANALISIS MACRO-REGIONAL | ANALISIS NACIONAL | ANALISIS MICROREGIONAL;1807;CENTRAL;330.34 BER
3907;BNM003907;Economia solidaria y capital social: contribuciones al desarrollo local;Caracciolo Basco, Mercedes | Foti Laxalde, Maria del Pilar;Mercedes Caracciolo Basco , Maria del Pilar Foti Laxalde;Buenos Aires;Paidos;2003;950-12-4522-5;144 p.;Tramas sociales;español;ECONOMIA | ECONOMIA SOCIAL | CAPITAL SOCIAL | DESARROLLO LOCAL | ECONOMIA SOLIDARIA;001910 | 001911;CENTRAL | CENTRAL;330.34 CAR | 330.34 CAR
3908;BNM003908;Los recursos del desarrollo: lecciones de seis aglomeraciones agroindustriales en America Latina;Guaipatin, Carlos;, compilado por Carlos Guaipatin;Colombia;Alfaomega Colombiana;2004;958-682-515-9;128 p.;;español;ECONOMIA | DESARROLLO ECONOMICO Y SOCIAL | POLITICAS PUBLICAS | AMERICA LATINA | AGLOMERACIONES AGROINDUSTRIALES | RELACION ESTADO-PRODUCTOR | MEJORAMIENTO TECNOLOGICO | CONSTRUCCION SOCIAL;1826;CENTRAL;330.34 REC
3909;BNM003909;Teoria economica del transporte;Thomson, J. M | Escribano, Fernando;J. M. Thomson , traducido por Fernando Escribano;Madrid;Alianza;1976;84-206-2153-6;303 p.;;español;ECONOMIA | TEORIA ECONOMICA | TRANSPORTE | SISTEMAS DE TRANSPORTE | COSTES | PROBLEMAS ECONOMICOS | INSFRAESTRUCTURA | INDUSTRIAS DEL TRANSPORTE;303;CENTRAL;330.341 THO
3910;BNM003910;Convenio colectivo de trabajo general para la Administración Pública Nacional Decreto 214/06;Asociacion de Trabajadores del Estado;Asociacion de Trabajadores del Estado;Buenos Aires;Asociación Trabajadores del Estado;2016;;228 p.;;español;TRABAJO | EMPLEO | CONVENIO COLECTIVO DE TRABAJO | ADMINISTRACION PUBLICA NACIONAL | LEGISLACION ARGENTINA | RELACIONES LABORALES | TRABAJO Y EMPLEO;6009;CENTRAL;331 CON
3911;BNM003911;La teoria de la explotacion;Von Bohm Bawerk, Eugen;Eugen Von Bohm Bawerk;Madrid;Union Editorial;1976;84-85046-29-3;253 p.;;español;TRABAJO | EMPLEO | TEORIA DE LA EXPLOTACION | DOCTRINAS MARXISTAS | SOCIALISMO MODERNO | TRABAJO Y EMPLEO;2116;CENTRAL;331.214.4 VON
3912;BNM003912;El futuro del trabajo y de la calidad en la sociedad de la información: El sector de los medios de comunicación, la cultura y las industrias gráficas;Oficina Internacional del Trabajo OIT;Oficina Internacional del Trabajo OIT;Ginebra;Oficina Internacional del Trabajo OIT;2004;92-2-315554-1;125 p.;;español;TRABAJO | COMUNICACION | GESTION CULTURAL | MEDIOS DE COMUNICACION | CULTURA | INDUSTRIAS GRAFICAS | SOCIEDAD DE LA INFORMACION | CALIDAD DEL TRABAJO | TRABAJO Y EMPLEO;1481;CENTRAL;331:007+008 FUT
3913;BNM003913;Alto al trabajo forzoso: informe global con arreglo al seguimiento de la Declaración de la OIT relativa a los principios y derechos fundamentales en el trabajo;Oficina Internacional del Trabajo OIT;Oficina Internacional del Trabajo OIT;Ginebra;OIT;2001;92-2-311948-0;140 p.;;español;TRABAJO | DERECHO DEL TRABAJADOR | TRABAJO FORZOSO | ELIMINACION | PLAN DE ACCION | TRABAJO Y EMPLEO;1564;CENTRAL;331.65(047) ALT
3914;BNM003914;Conseguir un trabajo: como prepararse para superar con exito una entrevista profesional;Guerrero, Rosa;Rosa Guerrero;Barcelona;RBA Libros;2000;84-7901-625-6;79 p.;;español;TRABAJO | ENTREVISTAS | MERCADO DE TRABAJO | ENTREVISTA PROFESIONAL | CONSEGUIR TRABAJO | TRABAJO Y EMPLEO;5498;CENTRAL;331.5 GUE
3915;BNM003915;Manual de economia politica;Beveraggi Allende, Walter;Walter Beveraggi Allende;Buenos Aires;Macchi;1984;950-537-072-2;604 p.;;español;ECONOMIA | ECONOMIA POLITICA | POBLACION | MONEDA | MERCADO | DESARROLLO ECONOMICO | PRODUCTO | COMPETENCIA | RECURSOS ECONOMICOS | FACTORES DE PRODUCCION | CIENCIA ECONOMICA;4736;CENTRAL;332.02 BEV
3916;BNM003916;Neoliberalismo y desendeudamiento: la realcion Argentina-FMI;Bembi, Mariela | Nemiña, Pablo;Mariela Bembi , Pablo Nemiña;Buenos Aires;Capital Intelectual;2007;978-987-614-031-7;128 p.;Claves para todos;español;ECONOMIA | POLITICA ECONOMICA | NEOLIBERALISMO | DESENDEUDAMIENTO | RELACION ARGENTINA- FMI | CONVERTIBILIDAD | DEFAULT | MEDIDAS ECONOMICAS | CRISIS ECONOMICAS;3915;CENTRAL;338.22 BEM
3917;BNM003917;Perfil del recurso humano en turismo;Ramirez Cavassa, Cesar;Cesar Ramirez Cavassa;Mexico;Trillas;2009;978-607-17-0111-4;220 p.;Trillas turismo;español;TURISMO | RECURSOS HUMANOS | PERFIL DEL TRABAJADOR | TRABAJADOR TURISTICO | RECURSO HUMANO TURISTICO;6200;CENTRAL;338.48 RAM
3918;BNM003918;Planificación estratégica y participativa;Cordoba, Mario;Mario Cordoba;Buenos Aires;Ediciones Turisticas;1999;987-9473-04-3;160 p.;;español;TURISMO | PLANIFICACION TURISTICA | PLANIFICACION ESTRATEGICA | PLANIFICACION PARTICIPATIVA;1849;CENTRAL;338.48(828.6) COR
3919;BNM003919;Teoria pura del Derecho;Kelsen, Hans;Hans Kelsen;Buenos Aires;EUDEBA;2000;950-23-0886-7;183 p.;;español;DERECHO | TEORIA | NATURALEZA | MORAL | ESTADO | DERECHO INTERNACIONAL | OBLIGACION JURIDICA | HECHO ILICITO | RESPONSABILIDAD JURIDICA | CIENCIA DEL DERECHO | ESTRUCTURA JERARQUICA;6432;CENTRAL;34 KEL
3920;BNM003920;Principios de la Filosofia del Derecho: o Derecho natural o Ciencia Politica;Hegel, Georg Wilhelm Friedrich | Vermal, Juan Luis;Georg Wilhelm Friedrich Hegel , traducido por Juan Luis Vermal;Buenos Aires;Sudamericana;2004;950-07-2529-0;320 p.;Sudamericana pensamiento;español;DERECHO | CIENCIA POLITICA | FILOSOFIA DEL DERECHO | DERECHO NATURAL | DERECHO ABSTRACTO | MORALIDAD | ETICIDAD;6436;CENTRAL;34 HEG
3921;BNM003921;Guia de estudio:  Aeronautico: Institutos de derecho de la navegación por aire;;;Buenos Aires;Estudio;2011;978-950-897-318-4;320 p.;Programa desarrollado de la materia;español;DERECHO | DERECHO AERONAUTICO | CODIGO AERONAUTICO | LEYES NACIONALES | CONVENIO | FUENTES | ORGANISMOS | CONVENIO DE MONTREAL | DERECHO DE LA AVIACION | TRANSPORTE AEREO | ESPACIO AEREO | INFRAESTRUCTURA;6335;CENTRAL;347.82 GUI
3922;BNM003922;Guia de estudio: Marítimo: Institutos de derecho de la navegación por agua;;;Buenos Aires;Estudio;2010;978-950-897-310-8;336 p.;Programa desarrollado de la materia;español;DERECHO | DERECHO MARITIMO | LEY DE NAVEGACION | JURISDICCION | RESPONSABILIDAD | ESPACIOS ACUATICOS | INFRAESTRUCTURA MARITIMA | BUQUE | SUJETOS | CONTRATO DE UTILIZACION | CONTRATO DE TRANSPORTE POR AGUA | POLITICA NAVIERA;6336;CENTRAL;347.79 GUI
3923;BNM003923;Pensar en Normas;Guibourg, Ricardo A;Ricardo A. Guibourg;Buenos Aires;EUDEBA;1999;950-23-0982-0;237 p.;;español;DERECHO | NORMAS | PENSAMIENTO NORMATIVOS | CLARIFICACION DE LAS NORMAS | FORMULACION DE LOS SISTEMAS | CONSTRUCCION DE LAS TEORIAS;6433;CENTRAL;34 GUI
3924;BNM003924;Derecho: marco juridico de las organizaciones;Chalita, Graciela | Piedrabuena, Alejandra;, coordinado por Graciela Chalita,  y Alejandra Piedrabuena;Buenos Aires;Aique;2002;950-701-853-0;221 p.;;español;DERECHO | DEFINICION | ORGANIZACIONES | DERECHO DEL TRABAJADOR | EMPRESAS | MARCO JURIDICO | SUJETOS DE DERECHO | HECHOS JURIDICOS | ACTOS JURIDICOS | CONTRATOS | OBLIGACIONES | GARANTIAS;4737;CENTRAL;34 DER
3925;BNM003925;La dimension juridica de la integracion;Instituto para la Integración de América Latina;Instituto para la Integración de América Latina;Buenos Aires;BID INTAL;1973;;465 p.;;español;DERECHO | TRATADOS INTERNACIONALES | DERECHO INTERNACIONAL | LATINOAMERICA | SISTEMA JURIDICO | PROGRAMAS DE INTEGRACION REGIONAL | DERECHO DE LA ALALC | DERECHO DE GRUPO ANDINO | DERECHO DEL MCCA;831;CENTRAL;341.23 INS
3926;BNM003926;Manual de las instituciones argentinas;Tau Anzoategui, Victor | Martire, Eduardo;Victor Tau Anzoategui , Eduardo Martire;Buenos Aires;Macchi;1981;;808 p.;;español;DERECHO | HISTORIA | MARCO JURIDICO HISTORICO | HISTORIA DE LAS INSTITUCIONES ARGENTINAS | METODOLOGIA HISTORICA | HISTORIOGRAFIA | HEURISTICA | CRITICA | ORDENAMIENTO | EXPOSICION | METODOS DE ENSENANZA;5938;CENTRAL;341.1 TAU
3927;BNM003927;Manual de las mujeres: guia de derechos, salud reproductiva, familia y trabajo destinada a adolescente y mujeres adultas;Consejo Nacional de la Mujer;Consejo Nacional de la Mujer;Buenos Aires;Secretaria de Cultura de la Nacion;2010;978-987-9161-60-9;112 p.;Libros y casa;español;DERECHO | DERECHO DE LAS MUJERES | PREVENCION DEL SIDA | DERECHOS CIVILES | DERECHO LABORAL | DERECHO A LA SALUD SEXUAL Y REPRODUCTIVA | PREVENCION DE ENFERMEDADES DE TRANSMISION SEXUAL | EMBARAZO | VIOLENCIA CONTRA LAS MUJERES | DERECHOS POLITICOS;005955 | 005956;CENTRAL | CENTRAL;34+613.99 MAN | 34+613.99 MAN
3928;BNM003928;Instituciones de Derecho Publico;;;San Luis;Macchi;2012;950-537-451-8;423 p.;;español;DERECHO | DERECHO PUBLICO | ESTADO | DERECHO CONSTITUCIONAL | PODER LEGISLATIVO | HISTORIA CONSTITUCIONAL | TEORIA CONSTITUCIONAL | SUPRALEGALIDAD | REPRESENTACION POLITICA | ESTRUCTURAS ESTATALES;3989;CENTRAL;342 INS
3929;BNM003929;Constitución Nacional: antecedentes históricos. Tratados y Convenciones con jerarquía constitucional. Nota de doctrina sobre reformas a la Constitución Nacional;;;Buenos Aires;La Ley;2004;978-03-0239-4;249 p.;Suplemetos universitarios La Ley;español;DERECHO | CONSTITUCION NACIONAL | TRATADOS INTERNACIONALES | DERECHO CONSTITUCIONAL | ANTECEDENTES HISTORICOS | CONVENCIONES | DOCTRINAS | REFORMAS;6322;CENTRAL;342.4 CON
3930;BNM003930;Como agua para chocolate;Esquivel, Laura;Laura Esquivel;Buenos Aires;DeBolsillo;2013;9871138490;210 p.;;español;NOVELA | LITERATURA | MEXICO | LITERATURA - NOVELAS;6214;CENTRAL;82-31(72) ESQ
3931;BNM003931;Constitucion de la Nacion Argentina;Argentina. Constitucion;Argentina. Constitucion;Buenos Aires;Secretaria de Cultura de la Nacion;2007;978-987-9161-36-8;72 p.;Libros y casas;español;DERECHO | CONSTITUCION NACIONAL | ARGENTINA;5309;CENTRAL;342.4 CON
3932;BNM003932;Constitucion de la Nacion Argentina;;;Buenos Aires;s/l;1910;;55 p.;;español;DERECHO | CONSTITUCION NACIONAL | ARGENTINA;642;CENTRAL;342.4 CON
3933;BNM003933;Libertad de prensa;Badeni, Gregorio | Escribano, Jose Claudio;Gregorio Badeni , con prólogo de Jose Claudio Escribano;Buenos Aires;Abeledo-Perrot;1977;950-20-1015-9;494 p.;;español;DERECHO | LIBERTAD DE PRENSA | LIBERTAD DE PENSAMIENTO | LIBERTAD DE EXPRESION | LIBERTAD DE IMPRENTA | SISTEMA CONSTITUCIONAL ARGENTINO | CENSURA;5474;CENTRAL;342.732 BAD
3934;BNM003934;Ambiciosas: crónica de una lucha colectiva;;;Ushuaia;Constanza Celeste Ojeda Uribe;2022;978-987-88-3407-8;170 p.;;español;FILOSOFIA | POLITICA | DERECHO DE LAS MUJERES | FEMINISMO | TIERRA DEL FUEGO | LUCHA COLECTIVA | REFORMA JUDICIAL FEMINISTA | DISCRIMINACION POR RAZON DE GENERO | PENSAMIENTO FILOSOFICO;5895;CENTRAL;(828.9)141.7:32 AMB
3935;BNM003935;Informe estadistico año 2002 y temporada 2002/2003;Municipalidad de Ushuaia;Municipalidad de Ushuaia;Ushuaia;Secretaria de Turismo y Cultura;2003;;124 p.;;español;ESTADISTICA | TURISMO | INFORME ESTADISTICO;001432 | 001556 | 005864;CENTRAL | CENTRAL | CENTRAL;(828.9)31:380.8 INF | (828.9)31:380.8 INF | (828.9)31:380.8 INF
